timestamp,low,high,open,close,volume,datetime,date
1730419200,2464.83,2585.26,2514.74,2510.27,81541.60977354,1970-01-01T00:28:50.419200,1970-01-01
1730332800,2500.0,2668.12,2658.15,2514.84,93810.99937796,1970-01-01T00:28:50.332800,1970-01-01
1730246400,2598.87,2721.09,2638.11,2658.16,123666.92523955,1970-01-01T00:28:50.246400,1970-01-01
1730160000,2559.3,2681.78,2565.66,2637.85,115494.41095118,1970-01-01T00:28:50.160000,1970-01-01
1730073600,2468.81,2588.0,2504.72,2565.66,94688.91402615,1970-01-01T00:28:50.073600,1970-01-01
1729987200,2460.47,2524.39,2479.49,2504.69,30629.2909461,1970-01-01T00:28:49.987200,1970-01-01
1729900800,2425.54,2503.73,2435.81,2479.49,40555.3054383,1970-01-01T00:28:49.900800,1970-01-01
1729814400,2379.35,2564.84,2534.0,2436.01,137844.37834249,1970-01-01T00:28:49.814400,1970-01-01
1729728000,2504.7,2559.24,2521.91,2533.99,73450.47584406,1970-01-01T00:28:49.728000,1970-01-01
1729641600,2448.36,2626.29,2620.84,2521.94,78368.44781749,1970-01-01T00:28:49.641600,1970-01-01
1729555200,2603.37,2670.37,2665.25,2620.84,70709.73288592,1970-01-01T00:28:49.555200,1970-01-01
1729468800,2653.94,2768.22,2745.91,2665.35,67046.17608835,1970-01-01T00:28:49.468800,1970-01-01
1729382400,2635.16,2758.08,2647.97,2746.22,42114.940021,1970-01-01T00:28:49.382400,1970-01-01
1729296000,2630.82,2662.99,2642.0,2647.97,17748.96060487,1970-01-01T00:28:49.296000,1970-01-01
1729209600,2594.79,2676.07,2604.9,2641.98,82644.360255,1970-01-01T00:28:49.209600,1970-01-01
1729123200,2574.29,2647.43,2610.56,2604.91,67668.26380459,1970-01-01T00:28:49.123200,1970-01-01
1729036800,2588.05,2646.91,2606.73,2610.54,97943.12619857,1970-01-01T00:28:49.036800,1970-01-01
1728950400,2536.47,2687.63,2628.75,2606.63,147272.65006204,1970-01-01T00:28:48.950400,1970-01-01
1728864000,2442.42,2653.03,2467.95,2628.74,134863.19504511,1970-01-01T00:28:48.864000,1970-01-01
1728777600,2435.88,2484.44,2475.79,2467.67,28115.6827349,1970-01-01T00:28:48.777600,1970-01-01
1728691200,2433.43,2489.67,2439.15,2475.79,26831.83205704,1970-01-01T00:28:48.691200,1970-01-01
1728604800,2379.84,2471.1,2384.42,2438.77,79629.60253014,1970-01-01T00:28:48.604800,1970-01-01
1728518400,2327.83,2418.41,2368.35,2384.32,87146.39549393,1970-01-01T00:28:48.518400,1970-01-01
1728432000,2349.63,2472.09,2439.47,2368.66,69323.07080214,1970-01-01T00:28:48.432000,1970-01-01
1728345600,2399.24,2464.51,2421.68,2439.48,60536.06425091,1970-01-01T00:28:48.345600,1970-01-01
1728259200,2402.32,2520.39,2439.36,2421.68,73870.56676745,1970-01-01T00:28:48.259200,1970-01-01
1728172800,2406.0,2457.57,2414.89,2439.84,17368.14003888,1970-01-01T00:28:48.172800,1970-01-01
1728086400,2389.68,2428.22,2414.43,2414.51,17445.77099774,1970-01-01T00:28:48.086400,1970-01-01
1728000000,2338.96,2440.96,2349.73,2414.43,63427.16619712,1970-01-01T00:28:48.000000,1970-01-01
1727913600,2309.17,2403.08,2363.51,2349.97,75055.04033974,1970-01-01T00:28:47.913600,1970-01-01
1727827200,2351.92,2498.47,2447.54,2363.76,91854.68404245,1970-01-01T00:28:47.827200,1970-01-01
1727740800,2413.11,2657.98,2601.33,2447.55,155891.69082296,1970-01-01T00:28:47.740800,1970-01-01
